Einsatzort	PLZ	Qualifikation	Qualifikationgruppe	Schicht	Tag	Wochentag	Feiertag	Mitarbeiter ID
1000	98.0	168	2.0	2	2017-01-16	Mon	False	[26152]
2064	68.0	26	2.0	2	2016-09-17	Sat	False	[17713 20399 21362]
286	126.0	108	2.0	2	2019-06-13	Thu	False	[42005]
1491	123.0	143	10.0	2	2015-08-01	Sat	False	[ 7816  8454 11715 14282]
468	92.0	91	2.0	2	2018-07-19	Thu	False	[29229 30329 30679 30897 33431 35153]
1325	43.0	123	2.0	2	2020-08-27	Thu	False	[45239 48852]
1899	153.0	81	10.0	2	2016-05-18	Wed	False	[18139]
435	160.0	44	2.0	1	2016-08-20	Sat	False	[20077]
1295	131.0	205	2.0	2	2017-10-12	Thu	False	[25502 26589 26424 24691 28835]
234	71.0	74	2.0	2	2020-11-19	Thu	False	[49764 48898 49162 47969 47103]
774	160.0	91	2.0	2	2017-12-18	Mon	False	[30260]
2600	92.0	201	2.0	1	2014-07-16	Wed	False	[5483 7288]
293	43.0	81	10.0	2	2020-04-03	Fri	False	[47261 48979]
289	63.0	123	2.0	2	2018-08-04	Sat	False	[36954]
2529	15.0	143	10.0	2	2018-11-10	Sat	False	[33613 38194]
632	63.0	205	2.0	2	2015-05-22	Fri	False	[ 7972 12310 13149]
1559	109.0	17	2.0	1	2014-10-12	Sun	False	[2884]
613	70.0	143	10.0	2	2020-02-13	Thu	False	[44291 46144]
271	70.0	25	2.0	1	2020-11-28	Sat	False	[48549]
645	124.0	193	10.0	1	2018-12-06	Thu	False	[35488]
1092	92.0	81	10.0	1	2018-05-27	Sun	False	[29655 28414]
925	131.0	212	10.0	2	2020-02-01	Sat	False	[46937]
1355	92.0	148	2.0	2	2016-10-03	Mon	True	[17314 18109 18248 18808 18923 19323]
1865	92.0	80	2.0	1	2015-04-10	Fri	False	[11889]
1350	110.0	167	2.0	1	2018-09-29	Sat	False	[36364]
2716	160.0	82	10.0	2	2014-12-06	Sat	False	[5101 7956 6510 2987]
2384	92.0	193	10.0	1	2014-05-31	Sat	False	[   9 5816 3582]
1945	131.0	24	2.0	1	2015-10-14	Wed	False	[9361]
2467	92.0	91	2.0	2	2014-06-13	Fri	False	[1151 1551 4253]
765	43.0	212	10.0	1	2018-01-31	Wed	False	[28243]
584	131.0	143	10.0	2	2019-11-18	Mon	False	[40784 43969 41648 42993 40668 41388]
776	43.0	193	10.0	1	2020-05-12	Tue	False	[48271]
725	19.0	26	2.0	2	2020-05-01	Fri	True	[45702]
2421	117.0	148	2.0	2	2016-12-03	Sat	False	[18163 20030 20041]
780	153.0	81	10.0	2	2016-02-10	Wed	False	[11751 12561]
2634	17.0	148	2.0	1	2019-01-16	Wed	False	[38620 38257 35601 39404]
1229	92.0	147	2.0	1	2018-08-31	Fri	False	[30270]
1481	92.0	123	2.0	2	2014-08-01	Fri	False	[4322]
1171	72.0	84	10.0	1	2014-08-29	Fri	False	[834]
799	131.0	193	10.0	1	2019-04-24	Wed	False	[38972]
1497	121.0	143	10.0	1	2019-09-28	Sat	False	[46373 43292 41378 42024 41522]
2352	92.0	148	2.0	2	2017-06-08	Thu	False	[25083 25099]
1481	92.0	82	10.0	1	2017-04-01	Sat	False	[26960]
1170	27.0	148	2.0	1	2020-01-31	Fri	False	[42559]
1559	109.0	25	2.0	1	2019-05-14	Tue	False	[39277 42014]
2418	43.0	148	2.0	1	2018-02-06	Tue	False	[27928 29303 30506]
803	131.0	26	2.0	2	2018-04-25	Wed	False	[27967 29890 33019 34323 34683]
925	131.0	6	2.0	1	2015-05-19	Tue	False	[ 5916 10873  8025 11526]
2422	0.0	25	2.0	1	2020-06-12	Fri	False	[45709 46354 47653 48715 49921]
1747	160.0	206	2.0	1	2020-02-25	Tue	False	[47454]
925	131.0	148	2.0	1	2020-01-21	Tue	False	[43656 43977 46209]
649	125.0	123	2.0	2	2014-05-28	Wed	False	[2231]
1622	109.0	205	2.0	2	2016-12-30	Fri	False	[22615 23883 25000]
2021	126.0	123	2.0	1	2014-01-06	Mon	False	[1849 2012]
2277	125.0	26	2.0	2	2019-12-02	Mon	False	[47392]
892	33.0	205	2.0	2	2020-03-13	Fri	False	[47000]
1936	92.0	148	2.0	1	2018-01-25	Thu	False	[26017 26257 29266 30202 30271 31236]
73	63.0	201	2.0	2	2015-10-22	Thu	False	[14286]
618	131.0	167	2.0	2	2019-01-10	Thu	False	[32672 36917 34675 37424 37703]
1549	84.0	205	2.0	2	2013-11-22	Fri	False	[1966]
1936	92.0	26	2.0	2	2015-09-04	Fri	False	[ 8833 11845 12287 12954 16118 16208]
1018	68.0	74	2.0	2	2016-12-04	Sun	False	[24542]
2184	17.0	44	2.0	2	2015-04-10	Fri	False	[11547]
972	63.0	25	2.0	1	2019-06-27	Thu	False	[39301]
988	117.0	91	2.0	2	2018-10-22	Mon	False	[31646]
780	153.0	193	10.0	2	2020-02-19	Wed	False	[45866 47605]
1608	109.0	193	10.0	1	2015-02-01	Sun	False	[8643]
334	102.0	148	2.0	1	2016-12-23	Fri	False	[18901 19487 20039 20745 21675 21720]
1328	165.0	148	2.0	2	2017-03-28	Tue	False	[20163 27554 21285]
327	92.0	107	10.0	2	2014-07-29	Tue	False	[6646 1442]
972	63.0	17	2.0	1	2018-12-10	Mon	False	[40243]
645	124.0	201	2.0	2	2016-03-07	Mon	False	[12942]
1921	125.0	148	2.0	2	2015-02-09	Mon	False	[7869 9090 3542 9748]
2540	92.0	143	10.0	2	2017-11-25	Sat	False	[31908]
251	124.0	155	2.0	2	2016-06-21	Tue	False	[15753 18461 14483 16128]
991	92.0	123	2.0	2	2018-05-20	Sun	False	[33234]
2322	153.0	201	2.0	2	2014-06-08	Sun	False	[3163]
2467	92.0	148	2.0	2	2017-04-21	Fri	False	[25641 26705 26882]
2675	131.0	201	2.0	2	2017-01-07	Sat	False	[18741 19196 20906 22618]
1325	43.0	212	10.0	2	2019-08-04	Sun	False	[45389 38816 39665 44699]
1235	109.0	205	2.0	2	2016-05-21	Sat	False	[20369]
716	131.0	84	10.0	2	2016-09-05	Mon	False	[16991 19764]
2402	131.0	71	10.0	1	2017-02-18	Sat	False	[26459]
1936	92.0	26	2.0	1	2019-02-14	Thu	False	[35395 36358 37826 37881 39803 40741]
572	103.0	148	2.0	1	2020-02-13	Thu	False	[47832 41047 46686 43722 48928]
1374	92.0	84	10.0	1	2015-07-11	Sat	False	[14377]
1332	65.0	201	2.0	0	2014-11-03	Mon	False	[3407 7257]
327	92.0	24	2.0	2	2019-01-01	Tue	True	[33031]
82	131.0	91	2.0	1	2018-06-10	Sun	False	[28446 31333 32441 32700 33559 33851]
1781	117.0	0	2.0	2	2018-11-23	Fri	False	[36286 33639 37949 34788 36072 31684]
1453	126.0	26	2.0	2	2014-01-17	Fri	False	[20]
850	119.0	0	2.0	1	2015-03-08	Sun	False	[8276 9682 6295]
468	92.0	28	2.0	2	2015-02-09	Mon	False	[11480]
1781	117.0	91	2.0	2	2016-02-23	Tue	False	[17447]
88	63.0	205	2.0	1	2019-03-02	Sat	False	[38758 39442 41623]
2184	17.0	148	2.0	2	2015-05-25	Mon	True	[ 8660 10348 12945 13043]
